CustomerID,Lookalike1,Score1,Lookalike2,Score2,Lookalike3,Score3
C0001,C0174,0.9882,C0152,0.9705,C0004,0.7366
C0002,C0159,0.9731,C0134,0.9286,C0106,0.7752
C0003,C0129,0.9467,C0091,0.8702,C0031,0.8522
C0004,C0012,0.7980,C0102,0.7941,C0113,0.7934
C0005,C0007,0.9836,C0140,0.9514,C0128,0.7822
C0006,C0187,0.8337,C0076,0.7854,C0052,0.6540
C0007,C0005,0.9836,C0140,0.9340,C0106,0.7526
C0008,C0098,0.9123,C0024,0.9051,C0194,0.8990
C0009,C0198,0.9112,C0058,0.6680,C0061,0.6026
C0010,C0132,0.9670,C0061,0.8492,C0074,0.7160
C0011,C0107,0.9888,C0192,0.8618,C0155,0.8504
C0012,C0004,0.7980,C0148,0.7133,C0039,0.7078
C0013,C0087,0.9555,C0126,0.9262,C0155,0.9126
C0014,C0060,0.8800,C0089,0.7956,C0097,0.7376
C0015,C0131,0.8803,C0036,0.7542,C0038,0.6913
C0016,C0183,0.9713,C0094,0.8489,C0034,0.8351
C0017,C0051,0.9460,C0075,0.9401,C0041,0.8904
C0018,C0035,0.7666,C0117,0.7357,C0046,0.6395
C0019,C0023,0.8234,C0119,0.7172,C0070,0.7075
C0020,C0050,0.7766,C0033,0.7358,C0072,0.6610
